holiday_description,state,date
Washington's Birthday,MS,2014-02-17
Confederate Memorial Day,MS,2014-04-28
Memorial Day,MS,2014-05-26
Independence Day,MS,2014-07-04
Labor Day,MS,2014-09-01
Columbus Day,MS,2014-10-13
Veterans Day,MS,2014-11-11
Thanksgiving,MS,2014-11-27
Christmas Day,MS,2014-12-25
New Year's Day,MS,2015-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,MS,2015-01-19
Washington's Birthday,MS,2015-02-16
Confederate Memorial Day,MS,2015-04-27
Memorial Day,MS,2015-05-25
Independence Day (Observed),MS,2015-07-03
Independence Day,MS,2015-07-04
Labor Day,MS,2015-09-07
Columbus Day,MS,2015-10-12
Veterans Day,MS,2015-11-11
Thanksgiving,MS,2015-11-26
Christmas Day,MS,2015-12-25
New Year's Day,MS,2016-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,MS,2016-01-18
Washington's Birthday,MS,2016-02-15
Confederate Memorial Day,MS,2016-04-25
Memorial Day,MS,2016-05-30
Independence Day,MS,2016-07-04
Labor Day,MS,2016-09-05
Columbus Day,MS,2016-10-10
Veterans Day,MS,2016-11-11
Thanksgiving,MS,2016-11-24
Christmas Day,MS,2016-12-25
Christmas Day (Observed),MS,2016-12-26
New Year's Day,MS,2017-01-01
New Year's Day (Observed),MS,2017-01-02
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,MS,2017-01-16
Washington's Birthday,MS,2017-02-20
Confederate Memorial Day,MS,2017-04-24
Memorial Day,MS,2017-05-29
Independence Day,MS,2017-07-04
Labor Day,MS,2017-09-04
Columbus Day,MS,2017-10-09
Veterans Day (Observed),MS,2017-11-10
Veterans Day,MS,2017-11-11
Thanksgiving,MS,2017-11-23
Christmas Day,MS,2017-12-25
New Year's Day,MS,2018-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,MS,2018-01-15
Washington's Birthday,MS,2018-02-19
Confederate Memorial Day,MS,2018-04-23
Memorial Day,MS,2018-05-28
Independence Day,MS,2018-07-04
Labor Day,MS,2018-09-03
Columbus Day,MS,2018-10-08
Veterans Day,MS,2018-11-11
Veterans Day (Observed),MS,2018-11-12
Thanksgiving,MS,2018-11-22
Christmas Day,MS,2018-12-25
New Year's Day,MS,2019-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,MS,2019-01-21
Washington's Birthday,MS,2019-02-18
Confederate Memorial Day,MS,2019-04-22
Memorial Day,MS,2019-05-27
Independence Day,MS,2019-07-04
Labor Day,MS,2019-09-02
Columbus Day,MS,2019-10-14
Veterans Day,MS,2019-11-11
Thanksgiving,MS,2019-11-28
Christmas Day,MS,2019-12-25
New Year's Day,MS,2020-01-01
Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays,MS,2020-01-20
Washington's Birthday,MS,2020-02-17
Confederate Memorial Day,MS,2020-04-27
Memorial Day,MS,2020-05-25
Independence Day (Observed),MS,2020-07-03
Independence Day,MS,2020-07-04
Labor Day,MS,2020-09-07
Columbus Day,MS,2020-10-12
Veterans Day,MS,2020-11-11
Thanksgiving,MS,2020-11-26
Christmas Day,MS,2020-12-25
New Year's Day,MT,2013-01-01
Martin Luther King Jr. Day,MT,2013-01-21
Washington's Birthday,MT,2013-02-18
Memorial Day,MT,2013-05-27
Independence Day,MT,2013-07-04
Labor Day,MT,2013-09-02
Columbus Day,MT,2013-10-14
Veterans Day,MT,2013-11-11
Thanksgiving,MT,2013-11-28
Christmas Day,MT,2013-12-25
New Year's Day,MT,2014-01-01
Martin Luther King Jr. Day,MT,2014-01-20
Washington's Birthday,MT,2014-02-17
Memorial Day,MT,2014-05-26
Independence Day,MT,2014-07-04
Labor Day,MT,2014-09-01
Columbus Day,MT,2014-10-13
Election Day,MT,2014-11-04
Veterans Day,MT,2014-11-11
Thanksgiving,MT,2014-11-27
Christmas Day,MT,2014-12-25
New Year's Day,MT,2015-01-01
Martin Luther King Jr. Day,MT,2015-01-19
Washington's Birthday,MT,2015-02-16
Memorial Day,MT,2015-05-25
Independence Day (Observed),MT,2015-07-03
Independence Day,MT,2015-07-04
Labor Day,MT,2015-09-07
Columbus Day,MT,2015-10-12
Veterans Day,MT,2015-11-11
Thanksgiving,MT,2015-11-26
Christmas Day,MT,2015-12-25
New Year's Day,MT,2016-01-01
Martin Luther King Jr. Day,MT,2016-01-18
Washington's Birthday,MT,2016-02-15
Memorial Day,MT,2016-05-30
Independence Day,MT,2016-07-04
Labor Day,MT,2016-09-05
Columbus Day,MT,2016-10-10
Election Day,MT,2016-11-08
Veterans Day,MT,2016-11-11
Thanksgiving,MT,2016-11-24
Christmas Day,MT,2016-12-25
Christmas Day (Observed),MT,2016-12-26
New Year's Day,MT,2017-01-01
New Year's Day (Observed),MT,2017-01-02
Martin Luther King Jr. Day,MT,2017-01-16
Washington's Birthday,MT,2017-02-20
Memorial Day,MT,2017-05-29
Independence Day,MT,2017-07-04
Labor Day,MT,2017-09-04
Columbus Day,MT,2017-10-09
Veterans Day (Observed),MT,2017-11-10
Veterans Day,MT,2017-11-11
Thanksgiving,MT,2017-11-23
Christmas Day,MT,2017-12-25
New Year's Day,MT,2018-01-01
Martin Luther King Jr. Day,MT,2018-01-15
Washington's Birthday,MT,2018-02-19
Memorial Day,MT,2018-05-28
Independence Day,MT,2018-07-04
Labor Day,MT,2018-09-03
Columbus Day,MT,2018-10-08
Election Day,MT,2018-11-06
Veterans Day,MT,2018-11-11
Veterans Day (Observed),MT,2018-11-12
Thanksgiving,MT,2018-11-22
Christmas Day,MT,2018-12-25
New Year's Day,MT,2019-01-01
Martin Luther King Jr. Day,MT,2019-01-21
Washington's Birthday,MT,2019-02-18
Memorial Day,MT,2019-05-27
Independence Day,MT,2019-07-04
Labor Day,MT,2019-09-02
Columbus Day,MT,2019-10-14
Veterans Day,MT,2019-11-11
Thanksgiving,MT,2019-11-28
Christmas Day,MT,2019-12-25
New Year's Day,MT,2020-01-01
Martin Luther King Jr. Day,MT,2020-01-20
Washington's Birthday,MT,2020-02-17
Memorial Day,MT,2020-05-25
Independence Day (Observed),MT,2020-07-03
Independence Day,MT,2020-07-04
Labor Day,MT,2020-09-07
Columbus Day,MT,2020-10-12
Election Day,MT,2020-11-03
Veterans Day,MT,2020-11-11
Thanksgiving,MT,2020-11-26
Christmas Day,MT,2020-12-25
New Year's Day,NC,2013-01-01
Martin Luther King Jr. Day,NC,2013-01-21
Washington's Birthday,NC,2013-02-18
Good Friday,NC,2013-03-29
Memorial Day,NC,2013-05-27
Independence Day,NC,2013-07-04
Labor Day,NC,2013-09-02
Columbus Day,NC,2013-10-14
Veterans Day,NC,2013-11-11
Thanksgiving,NC,2013-11-28
Day After Thanksgiving,NC,2013-11-29
Christmas Eve,NC,2013-12-24
Christmas Day,NC,2013-12-25
Day After Christmas,NC,2013-12-26
New Year's Day,NC,2014-01-01
Martin Luther King Jr. Day,NC,2014-01-20
Washington's Birthday,NC,2014-02-17
Good Friday,NC,2014-04-18
Memorial Day,NC,2014-05-26
Independence Day,NC,2014-07-04
Labor Day,NC,2014-09-01
Columbus Day,NC,2014-10-13
Veterans Day,NC,2014-11-11
Thanksgiving,NC,2014-11-27
Day After Thanksgiving,NC,2014-11-28
Christmas Eve,NC,2014-12-24
Christmas Day,NC,2014-12-25
Day After Christmas,NC,2014-12-26
New Year's Day,NC,2015-01-01
Martin Luther King Jr. Day,NC,2015-01-19
Washington's Birthday,NC,2015-02-16
Good Friday,NC,2015-04-03
Memorial Day,NC,2015-05-25
Independence Day (Observed),NC,2015-07-03
Independence Day,NC,2015-07-04
Labor Day,NC,2015-09-07
Columbus Day,NC,2015-10-12
Veterans Day,NC,2015-11-11
Thanksgiving,NC,2015-11-26
Day After Thanksgiving,NC,2015-11-27
Christmas Eve,NC,2015-12-24
Christmas Day,NC,2015-12-25
Day After Christmas,NC,2015-12-26
Day After Christmas (Observed),NC,2015-12-28
New Year's Day,NC,2016-01-01
Martin Luther King Jr. Day,NC,2016-01-18
Washington's Birthday,NC,2016-02-15
Good Friday,NC,2016-03-25
Memorial Day,NC,2016-05-30
Independence Day,NC,2016-07-04
Labor Day,NC,2016-09-05
Columbus Day,NC,2016-10-10
Veterans Day,NC,2016-11-11
Thanksgiving,NC,2016-11-24
Day After Thanksgiving,NC,2016-11-25
Christmas Eve (Observed),NC,2016-12-23
Christmas Eve,NC,2016-12-24
Christmas Day,NC,2016-12-25
"Day After Christmas, Christmas Day (Observed)",NC,2016-12-26
Day After Christmas (Observed),NC,2016-12-27
New Year's Day,NC,2017-01-01
New Year's Day (Observed),NC,2017-01-02
Martin Luther King Jr. Day,NC,2017-01-16
Washington's Birthday,NC,2017-02-20
Good Friday,NC,2017-04-14
Memorial Day,NC,2017-05-29
Independence Day,NC,2017-07-04
Labor Day,NC,2017-09-04
Columbus Day,NC,2017-10-09
Veterans Day (Observed),NC,2017-11-10
Veterans Day,NC,2017-11-11
Thanksgiving,NC,2017-11-23
Day After Thanksgiving,NC,2017-11-24
Christmas Eve (Observed),NC,2017-12-22
Christmas Eve,NC,2017-12-24
Christmas Day,NC,2017-12-25
Day After Christmas,NC,2017-12-26
New Year's Day,NC,2018-01-01
Martin Luther King Jr. Day,NC,2018-01-15
Washington's Birthday,NC,2018-02-19
Good Friday,NC,2018-03-30
Memorial Day,NC,2018-05-28
Independence Day,NC,2018-07-04
Labor Day,NC,2018-09-03
Columbus Day,NC,2018-10-08
Veterans Day,NC,2018-11-11
Veterans Day (Observed),NC,2018-11-12
Thanksgiving,NC,2018-11-22
Day After Thanksgiving,NC,2018-11-23
Christmas Eve,NC,2018-12-24
Christmas Day,NC,2018-12-25
Day After Christmas,NC,2018-12-26
New Year's Day,NC,2019-01-01
Martin Luther King Jr. Day,NC,2019-01-21
Washington's Birthday,NC,2019-02-18
Good Friday,NC,2019-04-19
Memorial Day,NC,2019-05-27
Independence Day,NC,2019-07-04
Labor Day,NC,2019-09-02
Columbus Day,NC,2019-10-14
Veterans Day,NC,2019-11-11
Thanksgiving,NC,2019-11-28
Day After Thanksgiving,NC,2019-11-29
Christmas Eve,NC,2019-12-24
Christmas Day,NC,2019-12-25
Day After Christmas,NC,2019-12-26
New Year's Day,NC,2020-01-01
Martin Luther King Jr. Day,NC,2020-01-20
Washington's Birthday,NC,2020-02-17
Good Friday,NC,2020-04-10
Memorial Day,NC,2020-05-25
Independence Day (Observed),NC,2020-07-03
Independence Day,NC,2020-07-04
Labor Day,NC,2020-09-07
Columbus Day,NC,2020-10-12
Veterans Day,NC,2020-11-11
Thanksgiving,NC,2020-11-26
Day After Thanksgiving,NC,2020-11-27
Christmas Eve,NC,2020-12-24
Christmas Day,NC,2020-12-25
Day After Christmas,NC,2020-12-26
Day After Christmas (Observed),NC,2020-12-28
New Year's Day,ND,2013-01-01
Martin Luther King Jr. Day,ND,2013-01-21
Washington's Birthday,ND,2013-02-18
Memorial Day,ND,2013-05-27
Independence Day,ND,2013-07-04
Labor Day,ND,2013-09-02
Columbus Day,ND,2013-10-14
Veterans Day,ND,2013-11-11
Thanksgiving,ND,2013-11-28
Christmas Day,ND,2013-12-25
New Year's Day,ND,2014-01-01
Martin Luther King Jr. Day,ND,2014-01-20
Washington's Birthday,ND,2014-02-17
Memorial Day,ND,2014-05-26
Independence Day,ND,2014-07-04
Labor Day,ND,2014-09-01
Columbus Day,ND,2014-10-13
Veterans Day,ND,2014-11-11
Thanksgiving,ND,2014-11-27
Christmas Day,ND,2014-12-25
New Year's Day,ND,2015-01-01
Martin Luther King Jr. Day,ND,2015-01-19
Washington's Birthday,ND,2015-02-16
Memorial Day,ND,2015-05-25
Independence Day (Observed),ND,2015-07-03
Independence Day,ND,2015-07-04
Labor Day,ND,2015-09-07
Columbus Day,ND,2015-10-12
Veterans Day,ND,2015-11-11
Thanksgiving,ND,2015-11-26
Christmas Day,ND,2015-12-25
New Year's Day,ND,2016-01-01
Martin Luther King Jr. Day,ND,2016-01-18
Washington's Birthday,ND,2016-02-15
Memorial Day,ND,2016-05-30
Independence Day,ND,2016-07-04
Labor Day,ND,2016-09-05
Columbus Day,ND,2016-10-10
Veterans Day,ND,2016-11-11
Thanksgiving,ND,2016-11-24
Christmas Day,ND,2016-12-25
Christmas Day (Observed),ND,2016-12-26
New Year's Day,ND,2017-01-01
New Year's Day (Observed),ND,2017-01-02
Martin Luther King Jr. Day,ND,2017-01-16
Washington's Birthday,ND,2017-02-20
Memorial Day,ND,2017-05-29
Independence Day,ND,2017-07-04
Labor Day,ND,2017-09-04
Columbus Day,ND,2017-10-09
Veterans Day (Observed),ND,2017-11-10
Veterans Day,ND,2017-11-11
Thanksgiving,ND,2017-11-23
Christmas Day,ND,2017-12-25
New Year's Day,ND,2018-01-01
Martin Luther King Jr. Day,ND,2018-01-15
Washington's Birthday,ND,2018-02-19
Memorial Day,ND,2018-05-28
Independence Day,ND,2018-07-04
Labor Day,ND,2018-09-03
Columbus Day,ND,2018-10-08
Veterans Day,ND,2018-11-11
Veterans Day (Observed),ND,2018-11-12
Thanksgiving,ND,2018-11-22
Christmas Day,ND,2018-12-25
New Year's Day,ND,2019-01-01
Martin Luther King Jr. Day,ND,2019-01-21
Washington's Birthday,ND,2019-02-18
Memorial Day,ND,2019-05-27
Independence Day,ND,2019-07-04
Labor Day,ND,2019-09-02
Columbus Day,ND,2019-10-14
Veterans Day,ND,2019-11-11
Thanksgiving,ND,2019-11-28
Christmas Day,ND,2019-12-25
New Year's Day,ND,2020-01-01
Martin Luther King Jr. Day,ND,2020-01-20
Washington's Birthday,ND,2020-02-17
Memorial Day,ND,2020-05-25
Independence Day (Observed),ND,2020-07-03
Independence Day,ND,2020-07-04
Labor Day,ND,2020-09-07
Columbus Day,ND,2020-10-12
Veterans Day,ND,2020-11-11
Thanksgiving,ND,2020-11-26
Christmas Day,ND,2020-12-25
New Year's Day,NE,2013-01-01
Martin Luther King Jr. Day,NE,2013-01-21
Washington's Birthday,NE,2013-02-18
Arbor Day,NE,2013-04-26
Memorial Day,NE,2013-05-27
Independence Day,NE,2013-07-04
Labor Day,NE,2013-09-02
Columbus Day,NE,2013-10-14
Veterans Day,NE,2013-11-11
Thanksgiving,NE,2013-11-28
Christmas Day,NE,2013-12-25
New Year's Day,NE,2014-01-01
Martin Luther King Jr. Day,NE,2014-01-20
Washington's Birthday,NE,2014-02-17
Arbor Day,NE,2014-04-25
Memorial Day,NE,2014-05-26
Independence Day,NE,2014-07-04
Labor Day,NE,2014-09-01
Columbus Day,NE,2014-10-13
Veterans Day,NE,2014-11-11
Thanksgiving,NE,2014-11-27
Christmas Day,NE,2014-12-25
New Year's Day,NE,2015-01-01
Martin Luther King Jr. Day,NE,2015-01-19
Washington's Birthday,NE,2015-02-16
Arbor Day,NE,2015-04-24
Memorial Day,NE,2015-05-25
Independence Day (Observed),NE,2015-07-03
Independence Day,NE,2015-07-04
Labor Day,NE,2015-09-07
Columbus Day,NE,2015-10-12
Veterans Day,NE,2015-11-11
Thanksgiving,NE,2015-11-26
Christmas Day,NE,2015-12-25
New Year's Day,NE,2016-01-01
Martin Luther King Jr. Day,NE,2016-01-18
Washington's Birthday,NE,2016-02-15
Arbor Day,NE,2016-04-29
Memorial Day,NE,2016-05-30
Independence Day,NE,2016-07-04
Labor Day,NE,2016-09-05
Columbus Day,NE,2016-10-10
Veterans Day,NE,2016-11-11
Thanksgiving,NE,2016-11-24
Christmas Day,NE,2016-12-25
Christmas Day (Observed),NE,2016-12-26
New Year's Day,NE,2017-01-01
New Year's Day (Observed),NE,2017-01-02
Martin Luther King Jr. Day,NE,2017-01-16
Washington's Birthday,NE,2017-02-20
Arbor Day,NE,2017-04-28
Memorial Day,NE,2017-05-29
Independence Day,NE,2017-07-04
Labor Day,NE,2017-09-04
Columbus Day,NE,2017-10-09
Veterans Day (Observed),NE,2017-11-10
Veterans Day,NE,2017-11-11
Thanksgiving,NE,2017-11-23
Christmas Day,NE,2017-12-25
New Year's Day,NE,2018-01-01
Martin Luther King Jr. Day,NE,2018-01-15
Washington's Birthday,NE,2018-02-19
Arbor Day,NE,2018-04-27
Memorial Day,NE,2018-05-28
Independence Day,NE,2018-07-04
Labor Day,NE,2018-09-03
Columbus Day,NE,2018-10-08
Veterans Day,NE,2018-11-11
Veterans Day (Observed),NE,2018-11-12
Thanksgiving,NE,2018-11-22
Christmas Day,NE,2018-12-25
New Year's Day,NE,2019-01-01
Martin Luther King Jr. Day,NE,2019-01-21
Washington's Birthday,NE,2019-02-18
Arbor Day,NE,2019-04-26
Memorial Day,NE,2019-05-27
Independence Day,NE,2019-07-04
Labor Day,NE,2019-09-02
Columbus Day,NE,2019-10-14
Veterans Day,NE,2019-11-11
Thanksgiving,NE,2019-11-28
Christmas Day,NE,2019-12-25
New Year's Day,NE,2020-01-01
Martin Luther King Jr. Day,NE,2020-01-20
Washington's Birthday,NE,2020-02-17
Arbor Day,NE,2020-04-24
Memorial Day,NE,2020-05-25
Independence Day (Observed),NE,2020-07-03
Independence Day,NE,2020-07-04
Labor Day,NE,2020-09-07
Columbus Day,NE,2020-10-12
Veterans Day,NE,2020-11-11
Thanksgiving,NE,2020-11-26
Christmas Day,NE,2020-12-25
New Year's Day,NH,2013-01-01
Dr. Martin Luther King Jr./Civil Rights Day,NH,2013-01-21
Washington's Birthday,NH,2013-02-18
Memorial Day,NH,2013-05-27
Independence Day,NH,2013-07-04
Labor Day,NH,2013-09-02
Columbus Day,NH,2013-10-14
Veterans Day,NH,2013-11-11
Thanksgiving,NH,2013-11-28
Day After Thanksgiving,NH,2013-11-29
Christmas Day,NH,2013-12-25
New Year's Day,NH,2014-01-01
Dr. Martin Luther King Jr./Civil Rights Day,NH,2014-01-20
Washington's Birthday,NH,2014-02-17
Memorial Day,NH,2014-05-26
Independence Day,NH,2014-07-04
Labor Day,NH,2014-09-01
Columbus Day,NH,2014-10-13
Election Day,NH,2014-11-04
Veterans Day,NH,2014-11-11
Thanksgiving,NH,2014-11-27
Day After Thanksgiving,NH,2014-11-28
Christmas Day,NH,2014-12-25
New Year's Day,NH,2015-01-01
Dr. Martin Luther King Jr./Civil Rights Day,NH,2015-01-19
Washington's Birthday,NH,2015-02-16
Memorial Day,NH,2015-05-25
Independence Day (Observed),NH,2015-07-03
Independence Day,NH,2015-07-04
Labor Day,NH,2015-09-07
Columbus Day,NH,2015-10-12
Veterans Day,NH,2015-11-11
Thanksgiving,NH,2015-11-26
Day After Thanksgiving,NH,2015-11-27
Christmas Day,NH,2015-12-25
New Year's Day,NH,2016-01-01
Dr. Martin Luther King Jr./Civil Rights Day,NH,2016-01-18
Washington's Birthday,NH,2016-02-15
Memorial Day,NH,2016-05-30
Independence Day,NH,2016-07-04
Labor Day,NH,2016-09-05
Columbus Day,NH,2016-10-10
Election Day,NH,2016-11-08
Veterans Day,NH,2016-11-11
Thanksgiving,NH,2016-11-24
Day After Thanksgiving,NH,2016-11-25
Christmas Day,NH,2016-12-25
Christmas Day (Observed),NH,2016-12-26
New Year's Day,NH,2017-01-01
New Year's Day (Observed),NH,2017-01-02
Dr. Martin Luther King Jr./Civil Rights Day,NH,2017-01-16
Washington's Birthday,NH,2017-02-20
Memorial Day,NH,2017-05-29
Independence Day,NH,2017-07-04
Labor Day,NH,2017-09-04
Columbus Day,NH,2017-10-09
Veterans Day (Observed),NH,2017-11-10
Veterans Day,NH,2017-11-11
Thanksgiving,NH,2017-11-23
Day After Thanksgiving,NH,2017-11-24
Christmas Day,NH,2017-12-25
New Year's Day,NH,2018-01-01
Dr. Martin Luther King Jr./Civil Rights Day,NH,2018-01-15
Washington's Birthday,NH,2018-02-19
Memorial Day,NH,2018-05-28
Independence Day,NH,2018-07-04
Labor Day,NH,2018-09-03
Columbus Day,NH,2018-10-08
Election Day,NH,2018-11-06
Veterans Day,NH,2018-11-11
Veterans Day (Observed),NH,2018-11-12
Thanksgiving,NH,2018-11-22
Day After Thanksgiving,NH,2018-11-23
Christmas Day,NH,2018-12-25
New Year's Day,NH,2019-01-01
Dr. Martin Luther King Jr./Civil Rights Day,NH,2019-01-21
Washington's Birthday,NH,2019-02-18
Memorial Day,NH,2019-05-27
Independence Day,NH,2019-07-04
Labor Day,NH,2019-09-02
Columbus Day,NH,2019-10-14
Veterans Day,NH,2019-11-11
Thanksgiving,NH,2019-11-28
Day After Thanksgiving,NH,2019-11-29
Christmas Day,NH,2019-12-25
New Year's Day,NH,2020-01-01
Dr. Martin Luther King Jr./Civil Rights Day,NH,2020-01-20
Washington's Birthday,NH,2020-02-17
Memorial Day,NH,2020-05-25
Independence Day (Observed),NH,2020-07-03
Independence Day,NH,2020-07-04
Labor Day,NH,2020-09-07
Columbus Day,NH,2020-10-12
Election Day,NH,2020-11-03
Veterans Day,NH,2020-11-11
Thanksgiving,NH,2020-11-26
Day After Thanksgiving,NH,2020-11-27
Christmas Day,NH,2020-12-25
New Year's Day,NJ,2013-01-01
Martin Luther King Jr. Day,NJ,2013-01-21
Lincoln's Birthday,NJ,2013-02-12
Washington's Birthday,NJ,2013-02-18
Good Friday,NJ,2013-03-29
Memorial Day,NJ,2013-05-27
Independence Day,NJ,2013-07-04
Labor Day,NJ,2013-09-02
Columbus Day,NJ,2013-10-14
Veterans Day,NJ,2013-11-11
Thanksgiving,NJ,2013-11-28
Christmas Day,NJ,2013-12-25
New Year's Day,NJ,2014-01-01
Martin Luther King Jr. Day,NJ,2014-01-20
Lincoln's Birthday,NJ,2014-02-12
Washington's Birthday,NJ,2014-02-17
Good Friday,NJ,2014-04-18
Memorial Day,NJ,2014-05-26
Independence Day,NJ,2014-07-04
Labor Day,NJ,2014-09-01
Columbus Day,NJ,2014-10-13
Election Day,NJ,2014-11-04
Veterans Day,NJ,2014-11-11
Thanksgiving,NJ,2014-11-27
Christmas Day,NJ,2014-12-25
New Year's Day,NJ,2015-01-01
Martin Luther King Jr. Day,NJ,2015-01-19
Lincoln's Birthday,NJ,2015-02-12
Washington's Birthday,NJ,2015-02-16
Good Friday,NJ,2015-04-03
Memorial Day,NJ,2015-05-25
Independence Day (Observed),NJ,2015-07-03
Independence Day,NJ,2015-07-04
Labor Day,NJ,2015-09-07
Columbus Day,NJ,2015-10-12
Veterans Day,NJ,2015-11-11
Thanksgiving,NJ,2015-11-26
Christmas Day,NJ,2015-12-25
New Year's Day,NJ,2016-01-01
Martin Luther King Jr. Day,NJ,2016-01-18
Lincoln's Birthday,NJ,2016-02-12
Washington's Birthday,NJ,2016-02-15
Good Friday,NJ,2016-03-25
Memorial Day,NJ,2016-05-30
Independence Day,NJ,2016-07-04
Labor Day,NJ,2016-09-05
Columbus Day,NJ,2016-10-10
Election Day,NJ,2016-11-08
Veterans Day,NJ,2016-11-11
Thanksgiving,NJ,2016-11-24
Christmas Day,NJ,2016-12-25
Christmas Day (Observed),NJ,2016-12-26
New Year's Day,NJ,2017-01-01
New Year's Day (Observed),NJ,2017-01-02
Martin Luther King Jr. Day,NJ,2017-01-16
Lincoln's Birthday,NJ,2017-02-12
Lincoln's Birthday (Observed),NJ,2017-02-13
Washington's Birthday,NJ,2017-02-20
Good Friday,NJ,2017-04-14
Memorial Day,NJ,2017-05-29
Independence Day,NJ,2017-07-04
Labor Day,NJ,2017-09-04
Columbus Day,NJ,2017-10-09
Veterans Day (Observed),NJ,2017-11-10
Veterans Day,NJ,2017-11-11
Thanksgiving,NJ,2017-11-23
Christmas Day,NJ,2017-12-25
New Year's Day,NJ,2018-01-01
Martin Luther King Jr. Day,NJ,2018-01-15
Lincoln's Birthday,NJ,2018-02-12
Washington's Birthday,NJ,2018-02-19
Good Friday,NJ,2018-03-30
Memorial Day,NJ,2018-05-28
Independence Day,NJ,2018-07-04
Labor Day,NJ,2018-09-03
Columbus Day,NJ,2018-10-08
Election Day,NJ,2018-11-06
Veterans Day,NJ,2018-11-11
Veterans Day (Observed),NJ,2018-11-12
Thanksgiving,NJ,2018-11-22
Christmas Day,NJ,2018-12-25
New Year's Day,NJ,2019-01-01
Martin Luther King Jr. Day,NJ,2019-01-21
Lincoln's Birthday,NJ,2019-02-12
Washington's Birthday,NJ,2019-02-18
Good Friday,NJ,2019-04-19
Memorial Day,NJ,2019-05-27
Independence Day,NJ,2019-07-04
Labor Day,NJ,2019-09-02
Columbus Day,NJ,2019-10-14
Veterans Day,NJ,2019-11-11
Thanksgiving,NJ,2019-11-28
Christmas Day,NJ,2019-12-25
New Year's Day,NJ,2020-01-01
Martin Luther King Jr. Day,NJ,2020-01-20
Lincoln's Birthday,NJ,2020-02-12
Washington's Birthday,NJ,2020-02-17
Good Friday,NJ,2020-04-10
Memorial Day,NJ,2020-05-25
Independence Day (Observed),NJ,2020-07-03
Independence Day,NJ,2020-07-04
Labor Day,NJ,2020-09-07
Columbus Day,NJ,2020-10-12
Election Day,NJ,2020-11-03
Veterans Day,NJ,2020-11-11
Thanksgiving,NJ,2020-11-26
Christmas Day,NJ,2020-12-25
New Year's Day,NM,2013-01-01
Martin Luther King Jr. Day,NM,2013-01-21
Memorial Day,NM,2013-05-27
Independence Day,NM,2013-07-04
Labor Day,NM,2013-09-02
Columbus Day,NM,2013-10-14
Veterans Day,NM,2013-11-11
Thanksgiving,NM,2013-11-28
Presidents' Day,NM,2013-11-29
Christmas Day,NM,2013-12-25
New Year's Day,NM,2014-01-01
Martin Luther King Jr. Day,NM,2014-01-20
Memorial Day,NM,2014-05-26
Independence Day,NM,2014-07-04
Labor Day,NM,2014-09-01
Columbus Day,NM,2014-10-13
Veterans Day,NM,2014-11-11
Thanksgiving,NM,2014-11-27
Presidents' Day,NM,2014-11-28
Christmas Day,NM,2014-12-25
New Year's Day,NM,2015-01-01
Martin Luther King Jr. Day,NM,2015-01-19
Memorial Day,NM,2015-05-25
Independence Day (Observed),NM,2015-07-03
Independence Day,NM,2015-07-04
Labor Day,NM,2015-09-07
Columbus Day,NM,2015-10-12
Veterans Day,NM,2015-11-11
Thanksgiving,NM,2015-11-26
Presidents' Day,NM,2015-11-27
Christmas Day,NM,2015-12-25
New Year's Day,NM,2016-01-01
Martin Luther King Jr. Day,NM,2016-01-18
Memorial Day,NM,2016-05-30
Independence Day,NM,2016-07-04
Labor Day,NM,2016-09-05
Columbus Day,NM,2016-10-10
Veterans Day,NM,2016-11-11
Thanksgiving,NM,2016-11-24
Presidents' Day,NM,2016-11-25
Christmas Day,NM,2016-12-25
Christmas Day (Observed),NM,2016-12-26
New Year's Day,NM,2017-01-01
New Year's Day (Observed),NM,2017-01-02
Martin Luther King Jr. Day,NM,2017-01-16
Memorial Day,NM,2017-05-29
Independence Day,NM,2017-07-04
Labor Day,NM,2017-09-04
Columbus Day,NM,2017-10-09
Veterans Day (Observed),NM,2017-11-10
Veterans Day,NM,2017-11-11
Thanksgiving,NM,2017-11-23
Presidents' Day,NM,2017-11-24
Christmas Day,NM,2017-12-25
New Year's Day,NM,2018-01-01
Martin Luther King Jr. Day,NM,2018-01-15
Memorial Day,NM,2018-05-28
Independence Day,NM,2018-07-04
Labor Day,NM,2018-09-03
Columbus Day,NM,2018-10-08
Veterans Day,NM,2018-11-11
Veterans Day (Observed),NM,2018-11-12
Thanksgiving,NM,2018-11-22
Presidents' Day,NM,2018-11-23
Christmas Day,NM,2018-12-25
New Year's Day,NM,2019-01-01
Martin Luther King Jr. Day,NM,2019-01-21
Memorial Day,NM,2019-05-27
Independence Day,NM,2019-07-04
Labor Day,NM,2019-09-02
Columbus Day,NM,2019-10-14
Veterans Day,NM,2019-11-11
Thanksgiving,NM,2019-11-28
Presidents' Day,NM,2019-11-29
Christmas Day,NM,2019-12-25
New Year's Day,NM,2020-01-01
Martin Luther King Jr. Day,NM,2020-01-20
Memorial Day,NM,2020-05-25
Independence Day (Observed),NM,2020-07-03
Independence Day,NM,2020-07-04
